File Count,Time (seconds)
1,2.281320333480835
2,2.8485817909240723
3,5.169726133346558
4,5.586423397064209
5,14.996738910675049
6,15.060125350952148
7,16.85563635826111
8,20.128133296966553
9,22.06708002090454
10,22.739785194396973
11,24.396848678588867
12,25.175986766815186
13,32.68436861038208
14,64.56462669372559
15,70.90974879264832
16,61.670666456222534
17,60.66938781738281
18,61.68670845031738
19,68.35261154174805
20,78.59065198898315
21,75.1524908542633
22,77.55363202095032
23,74.16700625419617
24,79.38193106651306
25,82.66485071182251
26,93.25230669975281
27,104.69624638557434
28,104.09510040283203
29,110.46860408782959
30,115.03154706954956
31,112.37586975097656
32,123.343665599823
