File Count,Time (seconds)
1,1.384657382965088
2,0.7779855728149414
3,0.963646650314331
4,1.4012739658355713
5,2.2239830493927
6,2.002506971359253
7,2.231217861175537
8,2.58307147026062
9,3.276021957397461
10,3.3765296936035156
11,4.1568872928619385
12,4.025289535522461
13,3.994396686553955
14,5.9816930294036865
15,5.933192729949951
16,6.288147211074829
17,6.680558204650879
18,6.994277715682983
19,7.203057289123535
20,7.273660898208618
21,7.386005163192749
22,7.904098749160767
23,7.901334524154663
24,8.164369821548462
25,8.48778223991394
26,10.44279170036316
27,10.311325073242188
28,10.237377405166626
29,10.413925647735596
30,10.89513111114502
31,11.399040460586548
32,12.481965065002441
